Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom base espagnol,Nom attribut français,Nom attribut anglais,Nom attribut espagnol,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Tags espagnol,Unité français,Unité anglais,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Sous-localisation géographique anglais,Sous-localisation géographique espagnol,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Type poste,Nom poste français,Nom poste anglais,Nom poste espagnol,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Valeur gaz supplémentaire 3,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,26743,élément non décomposé,Facteur d'émission,Valide générique,Alimentation,Feeding,,,,,"Régime alimentaire ""classique""",average,Achats de services > Restauration,"repas,alimentation","feeding,Meal",,kgCO2e/personne.mois,kgCO2e/person.month,,,,,,France continentale,,,,2018-09-18,2018-09-18,déc-21,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,136.0,,,,,,,,,,,,,,
Elément,26744,élément non décomposé,Facteur d'émission,Valide générique,Alimentation,Feeding,,,,,"Régime alimentaire ""flexitarien""",flexitarian,Achats de services > Restauration,"repas,alimentation","feeding,Meal",,kgCO2e/personne.mois,kgCO2e/person.month,,,,,,France continentale,,,,2018-09-18,2018-09-18,déc-21,50.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,85.7,,,,,,,,,,,,,,
Elément,20689,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,à dominante animale (avec boeuf),mainly meat (with beef),Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,7.26,,,,,,,,,,,,,,
Elément,20688,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,à dominante animale (avec poulet),mainly meat (with chicken),Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,
Elément,20685,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,à dominante végétale (avec boeuf),mainly vegetable (with beef),Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,
Elément,20684,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,à dominante végétale (avec poulet),mainly vegetable (with chicken),Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,
Elément,20687,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,classique (avec boeuf),classical (with beef),Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,6.29,,,,,,,,,,,,,,
Elément,20686,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,classique (avec poulet),classical (with chicken),Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,
Elément,20682,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,moyen,average,Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,
Elément,20683,élément non décomposé,Facteur d'émission,Valide générique,Repas,Meal,,,,,végétarien,vegan,Achats de services > Restauration,repas,,,kgCO2e/repas,kgCO2e/meal,ADEME,,,,,France continentale,,,,2014-11-05,2018-09-18,déc-21,50.0,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,
